Company,Valuation ($B),Date Joined,Year Joined,Month Joined,Day Joined,Industry,City,Country,Continent,Years to Unicorn,Year Founded,Funding ($B),Investor 1,Investor 2,Investor 3,Investor 4,Investors
Owkin,1,11/18/21,2021,11,18,Artificial Intelligence,New York,United States,North America,5,2016,0.254,Google Ventures, Cathay Innovation, NJF Capital,,"Google Ventures, Cathay Innovation, NJF Capital"
PandaDoc,1,9/22/21,2021,09,22,Internet software & services,San Francisco,United States,North America,5,2016,0.051,Rembrandt Venture Partners, M12, Altos Ventures,,"Rembrandt Venture Partners, M12, Altos Ventures"
Pat McGrath Labs,1,7/16/18,2018,07,16,Consumer & retail,New York,United States,North America,2,2016,0.06,One Luxury Group, Eurazeo,,,"One Luxury Group, Eurazeo"
PatSnap,1,3/16/21,2021,03,16,Internet software & services,,Singapore,Asia,14,2007,0.352,Sequoia Capital China, Shunwei Capital Partners, Qualgro,,"Sequoia Capital China, Shunwei Capital Partners, Qualgro"
Payhawk,1,2/14/22,2022,02,14,Fintech,London,United Kingdom,Europe,4,2018,0.239,Earlybird Venture Capital, Eleven Ventures, QED Investors,,"Earlybird Venture Capital, Eleven Ventures, QED Investors"
Pentera,1,1/11/22,2022,01,11,Cybersecurity,Petah Tikva,Israel,Asia,7,2015,0.19,AWZ Ventures, Blackstone, Insight Partners,,"AWZ Ventures, Blackstone, Insight Partners"
Pet Circle,1,12/6/21,2021,12,06,E-commerce & direct-to-consumer,Alexandria,Australia,Oceania,10,2011,0.125,Prysm Capital, Baillie Gifford & Co., TDM Growth Partners,,"Prysm Capital, Baillie Gifford & Co., TDM Growth Partners"
PicsArt,1,8/26/21,2021,08,26,Mobile & telecommunications,San Francisco,United States,North America,10,2011,0.195,Sequoia Capital, DCM Ventures, Insight Partners,,"Sequoia Capital, DCM Ventures, Insight Partners"
PLACE,1,11/17/21,2021,11,17,Internet software & services,Bellingham,United States,North America,1,2020,0.1,Goldman Sachs Asset Management, 3L,,,"Goldman Sachs Asset Management, 3L"
Placer.ai,1,1/12/22,2022,01,12,Artificial intelligence,Los Altos,United States,North America,6,2016,0.166,Fifth Wall Ventures, JBV Capital, Array Ventures,,"Fifth Wall Ventures, JBV Capital, Array Ventures"
Playco,1,9/21/20,2020,09,21,Other,Tokyo,Japan,Asia,0,2020,0.14,Sozo Ventures, Caffeinated Capital, Sequoia Capital,,"Sozo Ventures, Caffeinated Capital, Sequoia Capital"
